(83:22:57),(169:44:117),(259:73:178),(349:98:237),(439:123:300),(532:149:361),(626:181:426),(720:212:491),(809:237:554),(897:257:612),(987:274:667),(1085:299:726),(1192:334:789),(1312:379:862),(1448:438:945),(1588:496:1024),(1735:562:1106),(1875:618:1180),(1980:642:1238),(2075:663:1296),(2162:680:1352),(2241:694:1410),(2318:702:1461),(2394:714:1512),(2472:727:1566),(2552:741:1623),(2630:755:1680),(2712:771:1739),(2794:791:1799),(2870:802:1851),(2949:814:1907),(3023:822:1961),(3096:830:2013),(3165:837:2060),(3237:845:2110),(3308:852:2157),(3380:857:2203),(3451:865:2254),(3522:871:2302),(3595:878:2351),(3668:886:2402),(3740:896:2455),(3815:908:2509),(3889:916:2563),(3967:925:2616),(4046:936:2671),(4134:954:2729),(4242:994:2803),(4379:1068:2902),(4537:1176:3029),(4697:1285:3156),(4858:1394:3284),(5023:1512:3418),(5191:1633:3553),(5360:1756:3686),(5526:1870:3815),(5689:1977:3938),(5841:2055:4037),(5961:2097:4107),(6066:2127:4171),(6166:2154:4237),(6260:2174:4301),(6349:2196:4366),(6438:2212:4425),(6535:2236:4488),(6629:2260:4555),(6723:2280:4616),(6818:2300:4675),(6912:2317:4734),(7008:2339:4793),(7106:2368:4860),(7205:2396:4929),(7301:2420:4991),(7402:2455:5064),(7504:2480:5128),(7612:2512:5197),(7716:2541:5263),(7821:2568:5326),(7924:2596:5390),(8032:2622:5454),(8145:2650:5518),(8261:2678:5581),(8389:2718:5651),(8520:2760:5718),(8654:2803:5786),(8792:2846:5852),(8929:2890:5919),(9067:2933:5986),(9209:2984:6054),(9354:3032:6125),(9499:3076:6193),(9646:3121:6262),(9792:3169:6333),(9938:3216:6406),(10086:3268:6481),(10236:3329:6560),(10384:3384:6637),(10531:3436:6710),(10676:3486:6788),(10823:3535:6865),(10965:3584:6938),(11106:3632:7012),(11248:3685:7088),(11389:3731:7161),(11527:3775:7232),(11672:3824:7305),(11822:3876:7380),(11973:3928:7455),(12125:3981:7530),(12284:4038:7606),(12448:4095:7678),(12614:4154:7756),(12784:4222:7840),(12960:4290:7922),(13134:4358:8005),(13313:4426:8087),(13493:4493:8166),(13669:4567:8253),(13844:4635:8335),(14019:4699:8412),(14194:4768:8492),(14370:4834:8571),(14541:4901:8648),(14708:4964:8725),(14875:5026:8802),(15043:5088:8878),(15218:5155:8958),(15394:5220:9042),(15567:5284:9121),(15744:5351:9200),(15926:5421:9280),(16101:5487:9360),(16275:5552:9441),(16452:5622:9521),(16625:5686:9599),(16802:5753:9680),(16980:5820:9757),(17157:5886:9837),(17332:5956:9919),(17511:6028:10002),(17692:6098:10083),(17870:6171:10164),(18050:6236:10245),(18223:6304:10325),(18397:6374:10407),(18571:6446:10495),(18746:6520:10582),(18925:6596:10672),(19106:6669:10760),(19287:6742:10844),(19470:6817:10926),(19651:6892:11012),(19830:6970:11104),(20011:7044:11188),(20197:7121:11277),(20377:7192:11358),(20556:7265:11443),(20736:7341:11531),(20918:7419:11621),(21096:7495:11710),(21273:7567:11799),(21452:7641:11884),(21628:7708:11964),(21799:7774:12043),(21969:7837:12123),(22144:7903:12205),(22318:7968:12284),(22488:8036:12363),(22656:8102:12444),(22828:8168:12524),(23000:8230:12600),(23167:8292:12675),(23333:8356:12757),(23500:8418:12832),(23671:8479:12904),(23844:8543:12978),(24016:8607:13052),(24188:8670:13127),(24359:8732:13203),(24528:8796:13281),(24703:8866:13369),(24876:8937:13457),(25051:9001:13534),(25225:9068:13613),(25398:9138:13692),(25569:9205:13775),(25739:9272:13859),(25910:9342:13942),(26080:9408:14022),(26249:9473:14101),(26416:9534:14177),(26580:9595:14251),(26741:9657:14331),(26900:9720:14414),(27059:9777:14490),(27215:9832:14564),(27371:9897:14648),(27523:9954:14723),(27681:10015:14802),(27844:10076:14879),(28004:10136:14956),(28164:10196:15030),(28320:10251:15106),(28474:10303:15180),(28625:10364:15260),(28778:10421:15337),(28944:10479:15414),(29129:10548:15489),(29335:10630:15567),(29552:10722:15648),(29777:10824:15732),(30005:10937:15825),(30237:11056:15922),(30469:11180:16023),(30703:11314:16136),(30937:11450:16243),(31172:11590:16358),(31410:11733:16475),(31649:11882:16596),(31887:12031:16719),(32125:12180:16843),(32362:12327:16958),(32597:12472:17071),(32830:12614:17180),(33061:12752:17293),(33291:12887:17408),(33521:13022:17519),(33754:13155:17626),(33986:13288:17734),(34216:13423:17849),(34445:13559:17962),(34675:13697:18080),(34905:13835:18196),(35134:13972:18308),(35363:14105:18418),(35592:14244:18536),(35820:14380:18654),(36047:14512:18773),(36274:14647:18887),(36503:14778:18992),(36731:14909:19099),(36959:15040:19210),(37185:15169:19314),(37411:15298:19417),(37638:15429:19530),(37864:15559:19635),(38089:15689:19744),(38316:15819:19858),(38544:15951:19968),(38771:16082:20078),(38994:16213:20185),(39218:16343:20290),(39444:16477:20408),(39671:16615:20532),(39897:16752:20658),(40123:16889:20784),
(177:52:119),(354:100:239),(536:158:362),(722:212:481),(911:270:609),(1103:329:737),(1299:398:871),(1493:463:1002),(1681:517:1126),(1870:567:1245),(2070:622:1367),(2293:697:1501),(2531:791:1649),(2787:897:1803),(3065:1021:1971),(3349:1144:2132),(3641:1278:2298),(3924:1396:2451),(4153:1462:2574),(4342:1504:2690),(4510:1536:2802),(4663:1563:2916),(4813:1580:3018),(4965:1605:3122),(5118:1629:3226),(5276:1657:3338),(5432:1685:3450),(5593:1715:3565),(5756:1752:3685),(5908:1774:3792),(6062:1799:3905),(6209:1815:4010),(6354:1830:4112),(6490:1843:4208),(6633:1858:4306),(6777:1873:4405),(6922:1886:4503),(7066:1902:4604),(7210:1917:4703),(7357:1932:4802),(7506:1951:4906),(7658:1978:5022),(7810:2003:5135),(7960:2021:5242),(8122:2046:5351),(8293:2080:5468),(8490:2136:5601),(8723:2233:5766),(9004:2390:5971),(9319:2603:6222),(9641:2827:6483),(9965:3054:6745),(10295:3288:7010),(10631:3528:7280),(10968:3769:7546),(11300:3997:7803),(11624:4204:8044),(11917:4347:8233),(12153:4431:8377),(12362:4493:8509),(12563:4551:8642),(12753:4595:8768),(12932:4634:8893),(13111:4669:9015),(13301:4716:9142),(13488:4759:9272),(13675:4799:9393),(13862:4841:9513),(14052:4880:9631),(14242:4925:9751),(14437:4979:9883),(14633:5029:10014),(14827:5075:10137),(15027:5135:10271),(15229:5182:10393),(15440:5239:10525),(15650:5296:10656),(15861:5354:10785),(16070:5411:10914),(16287:5465:11040),(16511:5519:11164),(16741:5577:11289),(16991:5648:11423),(17246:5722:11553),(17512:5803:11688),(17786:5887:11821),(18059:5975:11954),(18333:6064:12086),(18616:6164:12225),(18904:6263:12370),(19189:6358:12509),(19480:6454:12650),(19772:6554:12796),(20064:6650:12943),(20358:6754:13093),(20655:6869:13248),(20950:6981:13404),(21241:7082:13552),(21528:7181:13705),(21819:7282:13859),(22101:7380:14006),(22382:7475:14155),(22661:7573:14305),(22939:7666:14453),(23216:7754:14596),(23504:7852:14742),(23798:7953:14891),(24098:8056:15040),(24401:8161:15191),(24716:8277:15345),(25043:8396:15493),(25374:8514:15645),(25713:8644:15806),(26059:8779:15968),(26403:8917:16133),(26758:9055:16295),(27113:9190:16454),(27464:9337:16623),(27811:9473:16784),(28158:9606:16941),(28502:9743:17102),(28848:9874:17261),(29188:10008:17416),(29524:10140:17573),(29858:10262:17725),(30197:10392:17879),(30544:10532:18042),(30893:10666:18207),(31239:10799:18369),(31589:10933:18530),(31947:11074:18694),(32296:11210:18856),(32647:11341:19015),(33000:11480:19175),(33349:11616:19334),(33702:11755:19497),(34059:11893:19657),(34410:12030:19819),(34761:12173:19984),(35119:12318:20149),(35479:12462:20315),(35837:12610:20478),(36194:12747:20643),(36541:12887:20807),(36889:13028:20974),(37241:13175:21149),(37593:13323:21322),(37949:13471:21495),(38310:13619:21666),(38673:13769:21836),(39035:13920:22005),(39397:14070:22175),(39756:14225:22350),(40118:14373:22517),(40485:14525:22691),(40842:14670:22854),(41201:14818:23021),(41558:14970:23196),(41918:15118:23369),(42276:15264:23540),(42631:15408:23714),(42985:15555:23883),(43335:15691:24046),(43680:15825:24204),(44022:15955:24362),(44368:16087:24522),(44714:16220:24681),(45053:16354:24839),(45390:16487:25001),(45732:16617:25159),(46074:16743:25311),(46408:16868:25462),(46743:16998:25622),(47081:17126:25775),(47424:17259:25928),(47765:17388:26078),(48107:17517:26229),(48448:17645:26379),(48790:17774:26535),(49129:17900:26689),(49476:18035:26856),(49819:18172:27022),(50166:18302:27177),(50512:18438:27336),(50858:18576:27495),(51200:18711:27657),(51541:18845:27820),(51882:18983:27983),(52222:19114:28139),(52560:19246:28296),(52894:19371:28450),(53222:19493:28599),(53545:19613:28757),(53862:19735:28918),(54177:19849:29069),(54488:19961:29220),(54799:20086:29380),(55103:20202:29531),(55419:20327:29691),(55744:20452:29848),(56065:20572:29999),(56384:20689:30146),(56695:20796:30295),(57004:20902:30441),(57309:21019:30596),(57613:21128:30744),(57933:21236:30891),(58283:21361:31038),(58670:21511:31189),(59088:21685:31348),(59527:21882:31511),(59977:22098:31689),(60435:22331:31881),(60894:22576:32080),(61359:22838:32298),(61825:23107:32514),(62293:23383:32738),(62766:23666:32967),(63243:23961:33204),(63719:24258:33444),(64195:24556:33682),(64670:24854:33915),(65140:25152:34146),(65607:25441:34372),(66071:25720:34599),(66532:25994:34826),(66992:26266:35047),(67455:26533:35261),(67917:26802:35480),(68376:27069:35703),(68834:27340:35928),(69293:27615:36158),(69751:27890:36388),(70208:28161:36609),(70665:28429:36830),(71121:28706:37061),(71576:28979:37291),(72030:29244:37518),(72483:29513:37742),(72940:29776:37958),(73395:30040:38177),(73850:30304:38399),(74299:30563:38614),(74748:30818:38825),(75200:31078:39046),(75650:31338:39262),(76099:31599:39480),(76551:31860:39703),(77005:32124:39921),(77458:32386:40142),(77905:32650:40359),(78352:32913:40575),(78802:33180:40806),(79253:33453:41052),(79702:33727:41309),(80151:34001:41565),
(272:77:180),(543:150:362),(821:236:547),(1104:319:729),(1391:406:922),(1683:497:1116),(1983:608:1325),(2278:702:1520),(2570:787:1707),(2872:880:1899),(3200:993:2100),(3565:1141:2327),(3952:1311:2570),(4359:1493:2817),(4784:1685:3070),(5212:1871:3313),(5648:2068:3559),(6072:2244:3787),(6432:2357:3978),(6721:2424:4153),(6968:2466:4318),(7191:2503:4486),(7414:2530:4642),(7640:2563:4797),(7869:2597:4955),(8101:2633:5120),(8334:2673:5288),(8570:2714:5458),(8811:2765:5635),(9038:2797:5797),(9269:2834:5968),(9489:2861:6129),(9704:2884:6285),(9913:2904:6437),(10131:2928:6589),(10348:2950:6742),(10569:2972:6898),(10790:2996:7053),(11010:3018:7205),(11236:3042:7359),(11471:3083:7528),(11710:3131:7710),(11951:3176:7888),(12194:3213:8059),(12458:3266:8237),(12751:3357:8444),(13087:3490:8682),(13472:3681:8963),(13912:3946:9294),(14390:4274:9676),(14881:4623:10076),(15373:4978:10479),(15872:5338:10884),(16376:5704:11292),(16881:6062:11691),(17381:6398:12071),(17862:6690:12414),(18285:6885:12678),(18634:7009:12894),(18951:7109:13098),(19253:7197:13298),(19540:7266:13489),(19814:7328:13678),(20083:7385:13864),(20366:7453:14054),(20650:7522:14251),(20934:7591:14437),(21215:7655:14618),(21502:7713:14793),(21787:7779:14974),(22082:7857:15168),(22380:7931:15360),(22676:8002:15545),(22978:8083:15738),(23286:8154:15918),(23605:8236:16111),(23923:8317:16303),(24245:8405:16496),(24566:8494:16689),(24894:8573:16876),(25234:8654:17062),(25582:8740:17247),(25951:8840:17442),(26328:8945:17633),(26725:9062:17831),(27136:9187:18029),(27549:9313:18226),(27960:9439:18420),(28379:9579:18624),(28808:9724:18841),(29236:9866:19049),(29671:10008:19259),(30108:10152:19474),(30545:10295:19693),(30985:10446:19914),(31426:10608:20140),(31866:10771:20372),(32299:10921:20595),(32725:11067:20821),(33159:11219:21048),(33579:11366:21269),(33997:11508:21493),(34411:11651:21715),(34823:11790:21939),(35236:11925:22158),(35663:12066:22374),(36100:12214:22595),(36546:12366:22816),(37001:12528:23046),(37473:12712:23287),(37961:12899:23516),(38454:13074:23743),(38959:13262:23978),(39471:13460:24218),(39985:13666:24463),(40515:13874:24704),(41046:14082:24951),(41571:14299:25204),(42092:14506:25446),(42608:14706:25684),(43121:14909:25926),(43638:15109:26168),(44148:15307:26402),(44652:15505:26639),(45154:15691:26868),(45663:15888:27100),(46184:16097:27343),(46707:16298:27587),(47228:16500:27832),(47753:16704:28075),(48289:16914:28322),(48812:17119:28569),(49338:17315:28806),(49866:17523:29046),(50391:17726:29282),(50920:17934:29524),(51454:18139:29763),(51981:18346:30005),(52510:18560:30251),(53046:18777:30500),(53583:18995:30750),(54119:19216:30995),(54653:19426:31243),(55176:19637:31492),(55702:19850:31744),(56231:20072:32004),(56760:20288:32259),(57292:20507:32518),(57833:20728:32773),(58377:20953:33028),(58920:21182:33285),(59463:21408:33541),(60001:21637:33801),(60543:21860:34055),(61089:22088:34315),(61624:22304:34562),(62164:22525:34812),(62699:22751:35071),(63236:22969:35329),(63775:23187:35585),(64311:23406:35846),(64842:23624:36096),(65368:23830:36342),(65888:24033:36582),(66402:24233:36822),(66919:24434:37065),(67438:24633:37300),(67948:24830:37535),(68459:25026:37774),(68973:25222:38011),(69483:25412:38240),(69985:25602:38472),(70488:25800:38714),(70994:25992:38944),(71505:26186:39172),(72013:26375:39397),(72523:26566:39622),(73031:26758:39846),(73543:26957:40085),(74052:27147:40317),(74569:27343:40560),(75083:27545:40804),(75603:27742:41040),(76123:27944:41278),(76644:28147:41513),(77159:28349:41753),(77675:28551:41996),(78184:28754:42235),(78698:28951:42470),(79208:29148:42702),(79709:29336:42932),(80202:29521:43157),(80686:29702:43390),(81164:29883:43626),(81638:30055:43851),(82108:30224:44076),(82574:30406:44312),(83036:30580:44536),(83512:30763:44771),(83996:30947:45004),(84479:31124:45226),(84959:31300:45448),(85430:31463:45670),(85900:31626:45891),(86364:31800:46121),(86825:31964:46342),(87300:32126:46563),(87801:32301:46780),(88345:32499:47000),(88934:32732:47230),(89560:33000:47467),(90212:33299:47724),(90887:33628:47998),(91569:33982:48291),(92259:34362:48609),(92955:34752:48923),(93655:35156:49252),(94361:35574:49591),(95075:36006:49938),(95790:36447:50286),(96504:36892:50635),(97218:37340:50986),(97926:37793:51330),(98630:38236:51671),(99329:38662:52012),(100025:39081:52356),(100717:39494:52690),(101411:39896:53015),(102104:40300:53340),(102794:40701:53668),(103482:41105:54002),(104171:41517:54341),(104858:41930:54686),(105542:42338:55016),(106228:42744:55347),(106913:43158:55687),(107596:43566:56027),(108278:43964:56365),(108957:44365:56698),(109642:44760:57024),(110325:45156:57354),(111007:45553:57686),(111682:45943:58011),(112355:46325:58333),(113032:46711:58659),(113708:47101:58985),(114382:47494:59316),(115059:47885:59648),(115739:48280:59974),(116419:48672:60303),(117093:49065:60626),(117765:49458:60955),(118441:49859:61306),(119118:50266:61670),(119793:50674:62045),(120468:51082:62419),
(365:104:240),(730:203:481),(1105:318:730),(1484:429:975),(1865:542:1230),(2256:665:1489),(2661:814:1766),(3064:946:2032),(3474:1080:2296),(3904:1234:2573),(4369:1414:2863),(4885:1648:3192),(5429:1911:3546),(5992:2180:3897),(6567:2447:4243),(7140:2701:4573),(7719:2961:4901),(8280:3192:5207),(8766:3349:5468),(9159:3446:5708),(9487:3502:5926),(9780:3545:6143),(10079:3585:6354),(10382:3630:6564),(10688:3677:6781),(10994:3725:7004),(11304:3782:7234),(11615:3834:7462),(11932:3895:7695),(12239:3938:7917),(12552:3989:8149),(12851:4032:8369),(13147:4071:8588),(13441:4109:8804),(13745:4147:9017),(14051:4187:9234),(14364:4232:9457),(14676:4276:9678),(14990:4321:9896),(15313:4375:10123),(15653:4458:10376),(16001:4545:10639),(16356:4636:10903),(16718:4724:11164),(17110:4841:11437),(17547:5021:11757),(18037:5258:12119),(18581:5561:12532),(19188:5947:13000),(19838:6405:13526),(20501:6887:14075),(21166:7378:14625),(21835:7869:15176),(22506:8354:15719),(23177:8827:16244),(23837:9259:16736),(24461:9616:17166),(25006:9855:17500),(25464:10015:17787),(25883:10149:18061),(26287:10267:18327),(26668:10359:18580),(27035:10445:18831),(27397:10524:19081),(27772:10614:19333),(28152:10711:19597),(28534:10808:19850),(28911:10895:20093),(29295:10975:20327),(29681:11064:20571),(30077:11166:20825),(30478:11265:21079),(30881:11364:21328),(31286:11468:21580),(31703:11564:21817),(32133:11674:22072),(32564:11782:22325),(33000:11900:22581),(33433:12018:22837),(33875:12126:23087),(34333:12236:23337),(34798:12353:23583),(35290:12484:23837),(35795:12621:24088),(36325:12775:24352),(36871:12939:24616),(37425:13107:24879),(37976:13275:25139),(38534:13459:25411),(39101:13650:25697),(39674:13834:25970),(40258:14024:26247),(40841:14213:26532),(41421:14400:26821),(42006:14601:27116),(42590:14817:27418),(43174:15029:27722),(43751:15227:28020),(44318:15420:28320),(44887:15615:28621),(45439:15807:28914),(45990:15998:29216),(46540:16187:29513),(47087:16370:29811),(47635:16549:30102),(48201:16733:30386),(48783:16928:30679),(49376:17128:30971),(49981:17345:31278),(50606:17586:31593),(51251:17831:31897),(51904:18062:32200),(52571:18306:32508),(53249:18565:32824),(53930:18837:33152),(54632:19112:33473),(55337:19394:33806),(56035:19679:34141),(56726:19951:34461),(57416:20216:34775),(58100:20483:35091),(58786:20746:35411),(59461:21008:35726),(60130:21267:36040),(60798:21514:36344),(61473:21773:36653),(62167:22050:36977),(62864:22322:37307),(63560:22596:37638),(64260:22867:37963),(64973:23145:38290),(65670:23418:38619),(66369:23680:38936),(67073:23956:39255),(67772:24225:39569),(68479:24501:39889),(69189:24778:40212),(69889:25051:40535),(70594:25334:40862),(71307:25624:41193),(72018:25913:41525),(72729:26208:41852),(73439:26488:42181),(74137:26771:42516),(74840:27055:42852),(75544:27352:43200),(76250:27642:43542),(76961:27933:43885),(77682:28226:44221),(78405:28522:44558),(79128:28825:44899),(79849:29126:45242),(80567:29431:45588),(81287:29732:45930),(82012:30036:46280),(82725:30326:46613),(83443:30619:46943),(84153:30916:47284),(84865:31205:47625),(85581:31495:47965),(86296:31783:48308),(87006:32071:48638),(87707:32347:48966),(88402:32622:49287),(89091:32896:49610),(89782:33167:49935),(90471:33431:50252),(91151:33694:50567),(91833:33957:50886),(92516:34218:51202),(93197:34473:51510),(93872:34729:51821),(94544:34987:52137),(95216:35239:52441),(95894:35496:52746),(96567:35746:53043),(97247:36004:53349),(97925:36262:53654),(98608:36524:53971),(99286:36781:54282),(99975:37044:54606),(100663:37313:54929),(101361:37578:55243),(102060:37845:55556),(102759:38111:55864),(103450:38377:56178),(104141:38649:56500),(104821:38921:56816),(105509:39186:57128),(106190:39446:57436),(106861:39698:57742),(107522:39946:58044),(108171:40187:58352),(108810:40431:58665),(109444:40663:58965),(110072:40888:59264),(110696:41129:59576),(111315:41363:59876),(111950:41604:60184),(112597:41847:60491),(113243:42085:60788),(113886:42324:61087),(114519:42548:61390),(115152:42772:61689),(115778:43007:61994),(116399:43231:62290),(117030:43449:62586),(117684:43678:62879),(118382:43928:63171),(119125:44210:63474),(119911:44531:63782),(120738:44893:64114),(121608:45298:64463),(122501:45742:64838),(123411:46222:65241),(124331:46722:65650),(125259:47244:66079),(126196:47789:66521),(127142:48353:66976),(128093:48929:67428),(129043:49513:67883),(129993:50103:68348),(130939:50705:68804),(131881:51299:69259),(132817:51876:69716),(133750:52443:70172),(134678:53000:70617),(135606:53542:71055),(136532:54085:71494),(137453:54621:71935),(138369:55159:72380),(139287:55706:72827),(140203:56253:73280),(141115:56798:73718),(142030:57340:74161),(142943:57888:74611),(143853:58429:75055),(144762:58962:75502),(145668:59495:75944),(146581:60020:76376),(147491:60549:76816),(148401:61077:77256),(149304:61596:77687),(150204:62109:78124),(151107:62626:78560),(152009:63146:78994),(152909:63667:79430),(153811:64185:79865),(154718:64711:80295),(155624:65233:80733),(156523:65750:81164),(157421:66274:81605),(158325:66806:82066),(159230:67347:82549),(160132:67891:83048),(161035:68434:83545),
(460:135:305),(923:266:613),(1398:415:930),(1877:562:1244),(2362:712:1569),(2858:875:1902),(3373:1068:2254),(3898:1255:2603),(4438:1450:2953),(5002:1673:3321),(5603:1923:3703),(6269:2244:4138),(6970:2602:4603),(7689:2963:5062),(8415:3313:5512),(9136:3642:5939),(9858:3970:6358),(10552:4257:6746),(11158:4453:7076),(11653:4575:7381),(12062:4644:7657),(12429:4698:7930),(12808:4755:8201),(13198:4818:8474),(13590:4883:8754),(13980:4950:9042),(14373:5027:9337),(14771:5102:9632),(15178:5187:9933),(15583:5261:10230),(15997:5348:10537),(16399:5427:10832),(16805:5515:11136),(17217:5609:11445),(17640:5710:11754),(18070:5818:12072),(18510:5928:12393),(18951:6037:12712),(19396:6156:13037),(19857:6293:13374),(20339:6461:13738),(20830:6637:14117),(21336:6829:14505),(21852:7027:14897),(22398:7250:15299),(22994:7545:15752),(23647:7901:16250),(24357:8329:16804),(25134:8845:17417),(25956:9442:18093),(26792:10066:18796),(27633:10697:19494),(28474:11319:20188),(29311:11919:20861),(30142:12492:21501),(30949:12996:22086),(31707:13405:22591),(32367:13681:22992),(32929:13869:23345),(33447:14027:23683),(33944:14167:24012),(34413:14279:24326),(34870:14381:24635),(35326:14483:24948),(35793:14594:25261),(36263:14715:25589),(36737:14830:25902),(37209:14937:26206),(37692:15043:26505),(38177:15156:26813),(38672:15279:27126),(39175:15400:27440),(39683:15520:27748),(40193:15648:28059),(40719:15770:28353),(41265:15906:28667),(41810:16044:28982),(42363:16193:29301),(42913:16341:29620),(43473:16480:29934),(44048:16623:30248),(44631:16769:30554),(45249:16935:30872),(45882:17108:31187),(46547:17298:31515),(47229:17499:31843),(47917:17707:32169),(48607:17915:32494),(49309:18147:32836),(50020:18389:33195),(50735:18613:33530),(51462:18846:33873),(52191:19079:34227),(52914:19310:34586),(53642:19559:34953),(54367:19824:35326),(55090:20084:35702),(55805:20332:36074),(56510:20572:36449),(57210:20813:36827),(57894:21052:37196),(58580:21295:37578),(59266:21532:37952),(59948:21758:38322),(60631:21984:38684),(61335:22210:39035),(62060:22451:39398),(62797:22697:39760),(63548:22961:40138),(64322:23255:40525),(65120:23554:40902),(65929:23838:41280),(66754:24143:41666),(67592:24463:42059),(68437:24799:42466),(69303:25141:42868),(70179:25491:43280),(71050:25848:43697),(71909:26185:44095),(72770:26515:44485),(73624:26847:44879),(74478:27176:45278),(75318:27502:45670),(76155:27821:46058),(76988:28128:46436),(77828:28454:46825),(78696:28796:47228),(79568:29139:47641),(80440:29487:48057),(81313:29832:48468),(82202:30181:48874),(83073:30523:49284),(83945:30853:49681),(84820:31194:50077),(85688:31530:50474),(86567:31874:50876),(87451:32220:51278),(88321:32564:51682),(89197:32915:52091),(90084:33272:52502),(90968:33631:52915),(91854:33996:53325),(92740:34347:53737),(93613:34702:54156),(94490:35058:54573),(95368:35428:55007),(96251:35793:55436),(97139:36156:55862),(98037:36519:56283),(98938:36886:56703),(99836:37260:57127),(100733:37632:57553),(101628:38007:57980),(102526:38384:58408),(103429:38761:58844),(104318:39122:59260),(105213:39486:59671),(106100:39854:60095),(106987:40214:60519),(107878:40574:60941),(108768:40932:61368),(109652:41290:61778),(110526:41636:62186),(111396:41982:62586),(112258:42327:62990),(113118:42666:63395),(113975:42995:63791),(114823:43326:64188),(115672:43652:64585),(116523:43975:64976),(117373:44297:65364),(118220:44617:65753),(119058:44932:66142),(119895:45246:66521),(120739:45564:66900),(121575:45876:67272),(122421:46195:67655),(123270:46516:68037),(124125:46840:68429),(124974:47166:68822),(125832:47496:69227),(126692:47830:69628),(127566:48166:70021),(128440:48501:70412),(129313:48831:70795),(130178:49163:71186),(131043:49504:71586),(131897:49845:71981),(132760:50176:72369),(133616:50501:72752),(134454:50818:73137),(135281:51128:73516),(136095:51430:73900),(136898:51733:74286),(137695:52025:74659),(138483:52310:75034),(139264:52607:75420),(140040:52900:75796),(140834:53199:76180),(141641:53502:76565),(142448:53800:76939),(143252:54099:77315),(144047:54383:77696),(144843:54667:78072),(145632:54962:78451),(146414:55242:78821),(147206:55514:79189),(148020:55798:79552),(148873:56101:79916),(149771:56436:80291),(150710:56807:80670),(151691:57218:81074),(152724:57678:81495),(153801:58191:81949),(154914:58752:82432),(156046:59345:82928),(157195:59971:83447),(158359:60630:83982),(159535:61315:84538),(160718:62018:85092),(161899:62733:85649),(163082:63457:86220),(164263:64198:86783),(165440:64935:87354),(166612:65659:87926),(167782:66376:88498),(168947:67082:89064),(170110:67771:89616),(171268:68459:90169),(172419:69133:90721),(173563:69805:91280),(174709:70485:91837),(175853:71166:92400),(176992:71847:92946),(178135:72523:93497),(179276:73205:94055),(180413:73883:94614),(181548:74555:95179),(182682:75220:95730),(183824:75877:96269),(184963:76539:96818),(186101:77199:97365),(187232:77849:97906),(188359:78496:98457),(189488:79144:99001),(190615:79794:99542),(191741:80447:100085),(192869:81096:100627),(194000:81752:101163),(195131:82406:101710),(196255:83055:102251),(197379:83712:102808),(198509:84378:103385),(199641:85055:103986),(200769:85737:104610),(201898:86418:105231),
